time,ID,x,y,yaw
0.1,0,157,132,-2.83101456026
0.1,1,83,108,0.250903408359
0.2,0,152,144,-2.51254025175
0.2,1,88,96,0.629507460239
0.3,0,152,144,-2.511710287
0.3,1,88,96,0.631214336748
0.4,0,152,144,-2.51118830601
0.4,1,88,96,0.632291355936
0.5,0,152,144,-2.51042620965
0.5,1,88,96,0.633864056822
0.7,0,152,144,-2.51025999637
0.7,1,88,96,0.634434728328
0.8,0,152,144,-2.50917383041
0.8,1,88,96,0.636212109354
0.9,0,152,143,-2.50719376781
0.9,1,88,96,0.639222481614
1.0,0,152,143,-2.49944291125
1.0,1,88,97,0.650103224128
1.1,0,152,143,-2.49280822999
1.1,1,88,97,0.659601766365
1.2,0,152,143,-2.48706908881
1.2,1,88,97,0.66796216123
1.3,0,152,143,-2.4780022417
1.3,1,88,97,0.680465925458
1.4,0,152,143,-2.44780483247
1.4,1,88,97,0.716314333244
1.5,0,152,143,-2.42576613831
1.5,1,88,97,0.739353725056
1.6,0,152,143,-2.40607160492
1.6,1,88,97,0.758999371032
1.7,0,152,143,-2.39633915164
1.7,1,88,97,0.768521378452
1.8,0,152,143,-2.38259721968
1.8,1,88,97,0.781222763832
1.9,0,152,143,-2.37511587058
1.9,1,88,97,0.788016334031
2.0,0,152,143,-2.35918744919
2.0,1,88,97,0.805644839798
2.1,0,151,143,-2.33688681231
2.1,1,89,97,0.83258360092
2.2,0,151,143,-2.33002596297
2.2,1,89,97,0.839643967688
2.3,0,151,142,-2.30078586521
2.3,1,89,98,0.867059410506
2.4,0,151,142,-2.27487984166
2.4,1,89,98,0.892561895189
2.5,0,151,142,-2.2721112401
2.5,1,89,98,0.895912702269
2.6,0,151,142,-2.24625840071
2.6,1,89,98,0.923877966817
2.7,0,150,142,-2.22264660695
2.7,1,89,98,0.945195751047
2.8,0,150,141,-2.20414031683
2.8,1,90,99,0.962167820599
2.9,0,150,141,-2.18402121598
2.9,1,90,99,0.985106167492
3.0,0,150,141,-2.14798806148
3.0,1,90,100,1.01856213549
3.1,0,150,140,-2.12983429264
3.1,1,90,100,1.03533942765
3.2,0,149,140,-2.10180266743
3.2,1,91,100,1.06595209995
3.3,0,149,139,-2.08224865005
3.3,1,91,101,1.09015738814
3.4,0,149,139,-2.06888661816
3.4,1,91,101,1.11000195786
3.5,0,149,139,-2.06350857669
3.5,1,91,101,1.11633897665
3.6,0,148,138,-2.05073377465
3.6,1,91,102,1.12763721311
3.7,0,148,138,-2.03851215212
3.7,1,92,102,1.13431377471
3.8,0,148,137,-2.03209269184
3.8,1,92,103,1.14262901411
3.9,0,148,137,-2.02973280109
3.9,1,92,103,1.14800539653
4.0,0,148,137,-2.0323132774
4.0,1,92,104,1.14576985211
4.1,0,147,136,-2.04677864119
4.1,1,92,104,1.13036009414
4.2,0,147,135,-2.06519861973
4.2,1,93,105,1.11358989624
4.3,0,147,135,-2.07945798675
4.3,1,93,105,1.09675144909
4.4,0,147,135,-2.08260497754
4.4,1,93,105,1.09283181673
4.5,0,146,135,-2.09787453716
4.5,1,93,106,1.07689296778
4.6,0,146,134,-2.1112110107
4.6,1,93,106,1.065277373
4.7,0,146,134,-2.12609215308
4.7,1,94,107,1.05234031814
4.8,0,146,133,-2.13849130872
