Episode,Success Rate,Average Arrival time,std_at,Collision Rate,Timeout Rate,Trajectory Efficiency,std_te
100,99,11.16,0.75,0,1,0.8036,0.1527
200,100,11.2,1.82,0,0,0.7948,0.1635
300,100,11.38,1,0,0,0.8015,0.0758
400,100,11.17,0.99,0,0,0.7962,0.1441
500,100,11.39,0.87,0,0,0.817,0.1391
600,99,11.21,0.95,0,1,0.7899,0.1848
700,100,11.12,0.75,0,0,0.7969,0.1118
800,100,11.23,0.82,0,0,0.8033,0.0723
900,100,11.14,0.69,0,0,0.7927,0.165
1000,100,11.08,0.71,0,0,0.7891,0.0942
1100,100,11.27,0.94,0,0,0.8127,0.0867
1200,100,11.29,0.9,0,0,0.7889,0.0942
1300,100,11.24,2.08,0,0,0.774,0.1413
1400,100,11.35,2.57,0,0,0.7957,0.1095
1500,100,11.25,1.01,0,0,0.8086,0.1299
