time,ID,x,y,yaw
0.4,0,152,144,-2.51379602517
0.4,1,88,96,0.628131179899
0.9,0,152,143,-2.57734058472
0.9,1,88,97,0.595215802736
1.4,0,152,143,-2.65115698972
1.4,1,88,97,0.589618635375
1.9,0,151,143,-2.70482511194
1.9,1,89,97,0.599394036797
2.4,0,149,142,-2.73761783466
2.4,1,90,98,0.628273866791
2.9,0,147,141,-2.73548089667
2.9,1,92,99,0.672046134669
3.4,0,145,140,-2.71454825671
3.4,1,93,101,0.723006320527
3.9,0,142,139,-2.75837349024
3.9,1,95,103,0.716923229139
4.4,0,139,138,-2.79617068312
4.4,1,98,104,0.650215022435
4.9,0,135,136,-2.83937947285
4.9,1,101,107,0.520598458086
5.4,0,132,135,-2.829010852
5.4,1,104,108,0.393983334558
5.9,0,128,134,-2.79227678964
5.9,1,108,110,0.334897103111
6.4,0,124,133,-2.75130775477
6.4,1,112,111,0.356226313883
6.9,0,122,132,-2.71677065329
6.9,1,114,112,0.364190380923
7.4,0,119,130,-2.6399214712
7.4,1,117,113,0.41930174824
7.9,0,117,129,-2.62624830274
7.9,1,119,114,0.450865113803
8.4,0,115,128,-2.59777947016
8.4,1,122,115,0.464658952878
8.9,0,112,126,-2.54107287618
8.9,1,124,117,0.434265897703
