time,ID,x,y,yaw
0.1,0,152,144,-2.51282759776
0.1,1,88,96,0.628850256988
0.2,0,152,144,-2.51212795121
0.2,1,88,96,0.62934562284
0.3,0,152,144,-2.51122587426
0.3,1,88,96,0.62953632112
0.4,0,152,144,-2.50931270746
0.4,1,88,96,0.629171088448
0.5,0,152,144,-2.50498368549
0.5,1,88,96,0.625746938519
0.6,0,152,144,-2.49831582658
0.6,1,88,96,0.620163686513
0.7,0,152,144,-2.48548050544
0.7,1,88,96,0.613346981434
0.8,0,152,143,-2.47530148641
0.8,1,88,96,0.608411780834
0.9,0,152,143,-2.45640192668
0.9,1,88,96,0.600362455124
1.0,0,152,143,-2.43649150247
1.0,1,88,96,0.594347718711
1.1,0,152,143,-2.42474690758
1.1,1,88,97,0.591904666264
1.2,0,152,143,-2.40481714403
1.2,1,88,97,0.589216879777
1.3,0,152,143,-2.38274263654
1.3,1,88,97,0.588146592022
1.4,0,152,143,-2.36176359499
1.4,1,88,97,0.588976194084
1.5,0,152,143,-2.34611212508
1.5,1,88,97,0.591007063982
1.6,0,152,143,-2.33167222908
1.6,1,88,97,0.593272909066
1.7,0,152,143,-2.30912593462
1.7,1,88,97,0.594301957812
1.8,0,151,143,-2.28821720642
1.8,1,88,97,0.5939654708
1.9,0,151,143,-2.27096688508
1.9,1,88,97,0.59538295472
2.0,0,151,142,-2.23996178751
2.0,1,89,97,0.601753671441
2.1,0,151,142,-2.20546278119
2.1,1,89,97,0.606796186532
2.2,0,151,142,-2.18174862711
2.2,1,89,97,0.612686857102
2.3,0,150,141,-2.14414593811
2.3,1,89,98,0.626088485382
2.4,0,150,141,-2.11593836145
2.4,1,90,98,0.630406094696
2.5,0,150,140,-2.0867708663
2.5,1,90,98,0.642649639939
2.6,0,150,140,-2.06467636414
2.6,1,90,98,0.650723580639
2.7,0,149,140,-2.04341467506
2.7,1,91,99,0.657820845847
2.8,0,149,139,-2.02055182148
2.8,1,91,99,0.666832924273
2.9,0,149,139,-1.99250811587
2.9,1,91,99,0.677318953445
3.0,0,149,138,-1.96698095911
3.0,1,92,99,0.690520481875
3.1,0,149,138,-1.95131553888
3.1,1,92,100,0.703160184182
3.2,0,149,137,-1.94287967866
3.2,1,92,100,0.713697424671
3.3,0,148,137,-1.9381141364
3.3,1,92,100,0.718867208647
3.4,0,148,137,-1.93518497337
3.4,1,93,100,0.729827995069
3.5,0,148,136,-1.93781202338
3.5,1,93,101,0.744806208064
3.6,0,148,136,-1.94388282095
3.6,1,94,101,0.767313054318
3.7,0,148,135,-1.94685390196
3.7,1,94,101,0.77417666105
3.8,0,148,135,-1.95023191542
3.8,1,94,102,0.777540668637
