Episode,Success Rate,Average Arrival time,std_at,Collision Rate,Timeout Rate,Trajectory Efficiency,std_te
100,100.00,7.96,0.11,0.00,0.00,0.9234,0.0097
200,100.00,8.01,0.11,0.00,0.00,0.9239,0.0094
300,100.00,8.05,0.10,0.00,0.00,0.9225,0.0095
300,0.00,nan,nan,0.00,0.00,nan,nan
400,100.00,8.09,0.09,0.00,0.00,0.9220,0.0082
500,100.00,8.10,0.09,0.00,0.00,0.9241,0.0081
600,100.00,8.11,0.09,0.00,0.00,0.9237,0.0087
600,0.00,nan,nan,0.00,0.00,nan,nan
700,100.00,8.12,0.10,0.00,0.00,0.9240,0.0084
800,100.00,8.13,0.09,0.00,0.00,0.9252,0.0077
900,100.00,8.13,0.09,0.00,0.00,0.9242,0.0082
900,0.00,nan,nan,0.00,0.00,nan,nan
1000,100.00,8.14,0.09,0.00,0.00,0.9255,0.0072
1100,100.00,8.13,0.09,0.00,0.00,0.9262,0.0080
1200,100.00,8.14,0.08,0.00,0.00,0.9250,0.0080
1200,0.00,nan,nan,0.00,0.00,nan,nan
1300,100.00,8.14,0.08,0.00,0.00,0.9257,0.0073
1400,100.00,8.14,0.08,0.00,0.00,0.9259,0.0077
1500,100.00,8.14,0.08,0.00,0.00,0.9254,0.0078
1500,0.00,nan,nan,0.00,0.00,nan,nan
1600,100.00,8.14,0.08,0.00,0.00,0.9257,0.0067
1700,100.00,8.15,0.08,0.00,0.00,0.9250,0.0083
1800,100.00,8.15,0.08,0.00,0.00,0.9257,0.0065
1800,0.00,nan,nan,0.00,0.00,nan,nan
1900,100.00,8.14,0.08,0.00,0.00,0.9273,0.0070
2000,100.00,8.14,0.09,0.00,0.00,0.9253,0.0084
2100,100.00,8.15,0.09,0.00,0.00,0.9263,0.0069
2100,0.00,nan,nan,0.00,0.00,nan,nan
2200,100.00,8.14,0.08,0.00,0.00,0.9271,0.0066
2300,100.00,8.15,0.08,0.00,0.00,0.9251,0.0083
2400,100.00,8.15,0.08,0.00,0.00,0.9265,0.0067
2400,0.00,nan,nan,0.00,0.00,nan,nan
2500,100.00,8.14,0.08,0.00,0.00,0.9267,0.0070
2600,100.00,8.15,0.08,0.00,0.00,0.9249,0.0085
2700,100.00,8.14,0.09,0.00,0.00,0.9262,0.0070
2700,0.00,nan,nan,0.00,0.00,nan,nan
2800,100.00,8.15,0.09,0.00,0.00,0.9271,0.0068
2900,100.00,8.15,0.08,0.00,0.00,0.9247,0.0084
3000,100.00,8.15,0.08,0.00,0.00,0.9261,0.0070
3000,0.00,nan,nan,0.00,0.00,nan,nan
3100,100.00,8.14,0.09,0.00,0.00,0.9266,0.0076
3200,100.00,8.15,0.09,0.00,0.00,0.9251,0.0087
3300,100.00,8.14,0.08,0.00,0.00,0.9259,0.0067
3300,0.00,nan,nan,0.00,0.00,nan,nan
3400,100.00,8.15,0.08,0.00,0.00,0.9271,0.0072
3500,100.00,8.14,0.08,0.00,0.00,0.9258,0.0086
3600,100.00,8.14,0.08,0.00,0.00,0.9264,0.0072
3600,0.00,nan,nan,0.00,0.00,nan,nan
3700,100.00,8.15,0.08,0.00,0.00,0.9270,0.0069
3800,100.00,8.15,0.09,0.00,0.00,0.9249,0.0090
3900,100.00,8.14,0.08,0.00,0.00,0.9267,0.0069
3900,0.00,nan,nan,0.00,0.00,nan,nan
4000,100.00,8.14,0.08,0.00,0.00,0.9269,0.0064
