Episode,Success Rate,Average Arrival time,Standard Deviation,Collision Rate,Timeout Rate
100,100.00,9.68,0.12,0.00,0.00
100,0.00,nan,nan,0.00,0.00
200,100.00,9.87,0.09,0.00,0.00
200,0.00,nan,nan,0.00,0.00
300,100.00,9.97,0.07,0.00,0.00
300,0.00,nan,nan,0.00,0.00
400,100.00,10.03,0.06,0.00,0.00
400,0.00,nan,nan,0.00,0.00
500,100.00,10.06,0.08,0.00,0.00
500,0.00,nan,nan,0.00,0.00
600,100.00,10.09,0.07,0.00,0.00
600,0.00,nan,nan,0.00,0.00
700,100.00,10.10,0.07,0.00,0.00
700,0.00,nan,nan,0.00,0.00
800,100.00,10.11,0.06,0.00,0.00
800,0.00,nan,nan,0.00,0.00
900,100.00,10.09,0.07,0.00,0.00
900,0.00,nan,nan,0.00,0.00
