Episode,Success Rate,Average Arrival time,std_at,Collision Rate,Timeout Rate,Trajectory Efficiency,std_te
20,100.00,12.66,0.56,0.00,0.00,0.8736,0.1138
40,100.00,12.47,0.59,0.00,0.00,0.8297,0.0091
60,100.00,12.07,0.39,0.00,0.00,0.8148,0.1954
80,100.00,11.92,0.35,0.00,0.00,0.8514,0.2313
100,100.00,11.73,0.49,0.00,0.00,0.8908,0.1417
120,100.00,11.63,0.44,0.00,0.00,0.9088,0.1574
140,100.00,11.44,0.41,0.00,0.00,0.8285,0.0091
160,100.00,11.30,0.46,0.00,0.00,0.8255,0.2239
180,100.00,11.68,0.33,0.00,0.00,0.8315,0.0827
200,100.00,11.99,0.70,0.00,0.00,0.8173,0.2024
220,100.00,12.05,0.74,0.00,0.00,0.9012,0.1545
240,100.00,11.52,0.50,0.00,0.00,0.8633,0.1157
260,100.00,11.94,0.70,0.00,0.00,0.8110,0.2160
280,100.00,11.60,0.53,0.00,0.00,0.8090,0.2134
300,100.00,11.46,0.76,0.00,0.00,0.8271,0.0809
320,100.00,11.33,0.36,0.00,0.00,0.8272,0.0807
340,100.00,11.24,0.30,0.00,0.00,0.7884,0.1961
360,100.00,11.58,0.64,0.00,0.00,0.8145,0.2270
380,100.00,11.93,1.05,0.00,0.00,0.8313,0.0764
400,100.00,11.71,0.78,0.00,0.00,0.7643,0.1687
420,100.00,11.41,1.02,0.00,0.00,0.8297,0.0966
440,100.00,11.24,0.97,0.00,0.00,0.8333,0.0800
460,100.00,11.16,0.47,0.00,0.00,0.7993,0.0120
480,100.00,11.32,0.66,0.00,0.00,0.8426,0.1184
500,100.00,11.69,0.88,0.00,0.00,0.8415,0.1476
520,100.00,11.38,0.49,0.00,0.00,0.7697,0.0133
540,100.00,11.37,0.52,0.00,0.00,0.7494,0.1822
560,100.00,11.75,1.19,0.00,0.00,0.8086,0.0140
580,100.00,11.07,0.35,0.00,0.00,0.8649,0.1474
600,100.00,11.30,1.14,0.00,0.00,0.8072,0.0904
620,100.00,11.47,0.63,0.00,0.00,0.7716,0.0122
640,100.00,11.86,1.11,0.00,0.00,0.7722,0.0835
660,100.00,11.52,0.81,0.00,0.00,0.7788,0.0807
680,100.00,11.67,1.24,0.00,0.00,0.7900,0.1107
700,100.00,11.30,1.08,0.00,0.00,0.7618,0.0242
720,100.00,11.33,1.00,0.00,0.00,0.7684,0.2176
740,85.00,11.01,0.61,15.00,0.00,0.7742,0.2028
760,90.00,11.13,0.58,10.00,0.00,0.8039,0.0891
780,95.00,11.29,0.62,5.00,0.00,0.7569,0.1934
800,95.00,10.99,0.39,5.00,0.00,0.7870,0.2236
820,100.00,11.28,0.45,0.00,0.00,0.7483,0.1977
840,95.00,11.22,0.68,5.00,0.00,0.7366,0.1893
860,100.00,11.30,0.54,0.00,0.00,0.7883,0.1304
880,100.00,11.19,0.32,0.00,0.00,0.7487,0.0693
900,100.00,11.35,0.44,0.00,0.00,0.7432,0.0810
920,90.00,10.42,0.15,10.00,0.00,0.7655,0.0872
940,95.00,10.38,0.19,5.00,0.00,0.7424,0.1672
960,80.00,10.71,0.27,20.00,0.00,0.8128,0.2556
980,95.00,10.80,0.30,5.00,0.00,0.8557,0.1737
1000,95.00,11.06,0.38,5.00,0.00,0.6944,0.1618
1020,95.00,11.16,0.38,5.00,0.00,0.7364,0.2143
1040,95.00,11.25,0.28,5.00,0.00,0.6933,0.1748
1060,100.00,11.07,0.35,0.00,0.00,0.7685,0.1241
1080,100.00,11.27,0.45,0.00,0.00,0.7460,0.2104
1100,85.00,9.90,0.38,15.00,0.00,0.7304,0.2030
1120,80.00,10.12,0.21,20.00,0.00,0.8332,0.1304
1140,85.00,10.31,0.29,15.00,0.00,0.7791,0.0874
1160,65.00,10.46,0.35,35.00,0.00,0.7590,0.0430
1180,85.00,10.74,0.23,15.00,0.00,0.7711,0.1101
1200,90.00,11.03,0.31,10.00,0.00,0.7070,0.0303
1220,100.00,11.11,0.30,0.00,0.00,0.7114,0.0674
1240,95.00,11.23,0.34,5.00,0.00,0.7063,0.0784
1260,100.00,11.22,0.28,0.00,0.00,0.7343,0.1231
1280,65.00,9.70,0.40,35.00,0.00,0.7698,0.1087
1300,55.00,9.89,0.37,45.00,0.00,0.7350,0.1123
1320,65.00,10.47,0.29,35.00,0.00,0.6883,0.1940
1340,75.00,10.74,0.19,25.00,0.00,0.7351,0.0826
1360,90.00,10.79,0.29,10.00,0.00,0.7660,0.1434
1380,80.00,11.00,0.29,20.00,0.00,0.6832,0.0197
1400,80.00,11.20,0.33,20.00,0.00,0.6937,0.0653
1420,95.00,11.11,0.35,5.00,0.00,0.7282,0.1138
1440,100.00,11.48,0.30,0.00,0.00,0.6851,0.0990
1460,55.00,10.12,0.39,45.00,0.00,0.8130,0.1108
1480,80.00,10.04,0.40,20.00,0.00,0.7816,0.0686
1500,90.00,10.16,0.60,10.00,0.00,0.7783,0.1166
1520,100.00,10.40,0.48,0.00,0.00,0.7384,0.0954
1540,90.00,10.82,0.35,10.00,0.00,0.6905,0.0292
1560,85.00,11.06,0.16,15.00,0.00,0.6343,0.1530
1580,85.00,11.09,0.27,15.00,0.00,0.6575,0.0185
1600,95.00,11.26,0.34,5.00,0.00,0.7058,0.2114
1620,95.00,11.19,0.35,5.00,0.00,0.7066,0.1148
1640,95.00,11.60,1.76,5.00,0.00,0.6674,0.1884
1660,93.00,11.73,2.09,6.00,0.00,0.6586,0.1879
1680,95.00,11.79,2.19,5.00,0.00,0.6516,0.1848
1700,96.00,11.79,2.22,4.00,0.00,0.6388,0.1930
1720,96.00,11.80,2.23,3.00,0.00,0.6336,0.1866
1740,95.00,11.80,2.28,4.00,0.00,0.6345,0.1761
1760,95.00,11.80,2.29,4.00,0.00,0.6450,0.1750
1780,95.00,11.81,2.32,4.00,0.00,0.6469,0.1778
1800,95.00,11.82,2.33,4.00,0.00,0.6458,0.1776
1820,95.00,11.84,2.34,5.00,0.00,0.6467,0.1726
1840,93.00,11.81,2.26,6.00,0.00,0.6440,0.1774
1860,93.00,11.82,2.28,6.00,0.00,0.6452,0.1727
1880,92.00,11.82,2.29,7.00,0.00,0.6411,0.1769
1900,92.00,11.83,2.30,7.00,0.00,0.6441,0.1764
1920,92.00,11.83,2.31,7.00,0.00,0.6481,0.1755
1940,92.00,11.84,2.33,7.00,0.00,0.6504,0.1733
1960,91.00,11.85,2.34,8.00,0.00,0.6511,0.1706
1980,91.00,11.82,2.28,8.00,0.00,0.6523,0.1674
2000,91.00,11.82,2.30,9.00,0.00,0.6510,0.1684
2020,90.00,11.81,2.25,9.00,0.00,0.6532,0.1709
2040,91.00,11.80,2.27,8.00,0.00,0.6513,0.1747
2060,91.00,11.81,2.27,8.00,0.00,0.6486,0.1779
2080,91.00,11.81,2.28,8.00,0.00,0.6471,0.1773
2100,91.00,11.82,2.30,8.00,0.00,0.6472,0.1746
2120,91.00,11.82,2.30,8.00,0.00,0.6484,0.1767
2140,91.00,11.82,2.30,8.00,0.00,0.6502,0.1745
2160,91.00,11.82,2.31,8.00,0.00,0.6496,0.1753
2180,92.00,11.81,2.32,7.00,0.00,0.6512,0.1774
2200,91.00,11.80,2.29,8.00,0.00,0.6537,0.1768
2220,92.00,11.80,2.29,7.00,0.00,0.6529,0.1769
2240,91.00,11.80,2.30,8.00,0.00,0.6525,0.1759
2260,91.00,11.79,2.27,8.00,0.00,0.6527,0.1735
2280,91.00,11.79,2.28,8.00,0.00,0.6528,0.1718
2300,91.00,11.79,2.28,8.00,0.00,0.6529,0.1704
2320,91.00,11.79,2.29,8.00,0.00,0.6543,0.1695
2340,91.00,11.78,2.26,8.00,0.00,0.6551,0.1680
2360,91.00,11.78,2.26,8.00,0.00,0.6561,0.1666
2380,92.00,11.78,2.27,7.00,0.00,0.6562,0.1652
2400,92.00,11.78,2.27,8.00,0.00,0.6557,0.1636
