Episode,Success Rate,Average Arrival time,std_at,Collision Rate,Timeout Rate,Trajectory Efficiency,std_te
2200,0.00,nan,nan,100.00,0.00,nan,nan
2220,0.00,nan,nan,100.00,0.00,nan,nan
2240,0.00,nan,nan,100.00,0.00,nan,nan
2260,0.00,nan,nan,100.00,0.00,nan,nan
2280,0.00,nan,nan,100.00,0.00,nan,nan
2300,0.00,nan,nan,100.00,0.00,nan,nan
2320,0.00,nan,nan,100.00,0.00,nan,nan
2340,0.00,nan,nan,100.00,0.00,nan,nan
2360,0.00,nan,nan,100.00,0.00,nan,nan
2380,0.00,nan,nan,100.00,0.00,nan,nan
2400,0.00,nan,nan,100.00,0.00,nan,nan
2420,0.00,nan,nan,100.00,0.00,nan,nan
2440,0.00,nan,nan,100.00,0.00,nan,nan
2460,0.00,nan,nan,100.00,0.00,nan,nan
2480,0.00,nan,nan,100.00,0.00,nan,nan
2500,0.00,nan,nan,100.00,0.00,nan,nan
2520,0.00,nan,nan,100.00,0.00,nan,nan
2540,0.00,nan,nan,100.00,0.00,nan,nan
2560,0.00,nan,nan,100.00,0.00,nan,nan
2580,0.00,nan,nan,100.00,0.00,nan,nan
2600,0.00,nan,nan,100.00,0.00,nan,nan
2620,0.00,nan,nan,100.00,0.00,nan,nan
2640,0.00,nan,nan,100.00,0.00,nan,nan
2660,0.00,nan,nan,100.00,0.00,nan,nan
2680,0.00,nan,nan,100.00,0.00,nan,nan
2700,0.00,nan,nan,100.00,0.00,nan,nan
2720,0.00,nan,nan,100.00,0.00,nan,nan
2740,0.00,nan,nan,100.00,0.00,nan,nan
2760,0.00,nan,nan,100.00,0.00,nan,nan
2780,0.00,nan,nan,100.00,0.00,nan,nan
2800,0.00,nan,nan,100.00,0.00,nan,nan
2820,0.00,nan,nan,100.00,0.00,nan,nan
2840,0.00,nan,nan,100.00,0.00,nan,nan
2860,0.00,nan,nan,100.00,0.00,nan,nan
2880,0.00,nan,nan,100.00,0.00,nan,nan
2900,0.00,nan,nan,100.00,0.00,nan,nan
2920,0.00,nan,nan,100.00,0.00,nan,nan
2940,0.00,nan,nan,100.00,0.00,nan,nan
2960,0.00,nan,nan,100.00,0.00,nan,nan
2980,0.00,nan,nan,100.00,0.00,nan,nan
3000,0.00,nan,nan,100.00,0.00,nan,nan
3020,0.00,nan,nan,100.00,0.00,nan,nan
3040,0.00,nan,nan,100.00,0.00,nan,nan
3060,0.00,nan,nan,100.00,0.00,nan,nan
