time,ID,x,x_idx,y,y_idx,yaw
0,0,3.25207207755236E-07,50,0.0002148298,50,1.569258293
0.1,0,1.90960763933681E-05,50,0.0470953604,50,1.5707061281
0.2,0,0.0011048743,50,0.2904010827,53,1.5215022993
0.3,0,0.0919418548,51,0.6739347803,57,1.164626613
0.4,0,0.3152310907,53,1.0320152894,60,0.9028009323
0.5,0,0.5839101664,56,1.3955786522,64,0.9496317302
0.6,0,0.7816008621,58,1.8024936847,68,1.3034474008
0.7,0,0.8232819943,58,2.2162081538,72,1.6024698455
0.8,0,0.7391122839,57,2.6337776355,76,1.9404888795
0.9,0,0.5167846715,55,3.0022374382,80,2.2399855533
1,0,0.2186985617,52,3.3042351007,83,2.4111783609
1.1,0,-0.1212666578,49,3.6051376733,86,2.3920995429
1.2,0,-0.3953978244,46,3.8916587828,89,2.2760214451
