time,ID,x,x_idx,y,y_idx,yaw
0,0,2.0225269844,80,1.4694539447,75,-2.5132361065
0,1,-2.0225340113,40,-1.4694569915,45,0.6282673938
0,2,-1.4694572833,45,2.0225346486,80,-0.9424700461
0,3,1.4694605965,75,-2.0225386018,40,2.1991183356
0.1,0,2.0119320212,80,1.461488031,75,-2.4909441351
0.1,1,-2.0096235088,40,-1.460572364,45,0.6040829552
0.1,2,-1.4600136826,45,2.0100263307,80,-0.9177102425
0.1,3,1.4623444909,75,-2.0128470108,40,2.2174149099
0.2,0,1.9767182967,80,1.4338270832,74,-2.4528233727
0.2,1,-1.9720343031,40,-1.4343984161,46,0.6150128062
0.2,2,-1.4299711852,46,1.9721322539,80,-0.884236056
0.2,3,1.4362278668,74,-1.9801860121,40,2.2702149526
0.3,0,1.9179320299,79,1.382456142,74,-2.3890473159
0.3,1,-1.9075879731,41,-1.3870076501,46,0.6568302282
0.3,2,-1.3763963977,46,1.909839785,79,-0.8310762515
0.3,3,1.385614109,74,-1.9230704899,41,2.3199331675
0.4,0,1.840097505,78,1.303926037,73,-2.304627262
0.4,1,-1.8224355018,42,-1.3170216898,47,0.7355244579
0.4,2,-1.2972817751,47,1.8311670578,78,-0.7187957349
0.4,3,1.3106023624,73,-1.85060891,41,2.4391547229
0.5,0,1.7728849818,78,1.2216580023,72,-2.2073212408
0.5,1,-1.7571022206,42,-1.2479334484,48,0.897735521
0.5,2,-1.214543928,48,1.7679615516,78,-0.5783967053
0.5,3,1.2294389768,72,-1.7904112515,42,2.5569642114
0.6,0,1.7049456917,77,1.1194559323,71,-2.097055685
0.6,1,-1.690309786,43,-1.1481549163,49,1.0502879128
0.6,2,-1.1044540176,49,1.7052030889,77,-0.4788449746
0.6,3,1.1237943415,71,-1.7292331316,43,2.6666854068
0.7,0,1.6512263532,77,1.0122193414,70,-1.9865626652
0.7,1,-1.6338171639,44,-1.0387532588,50,1.135373158
0.7,2,-0.9947956804,50,1.65223183,77,-0.4264899369
0.7,3,1.0138930534,70,-1.678474588,43,2.7427707655
0.8,0,1.6080677603,76,0.9050324718,69,-1.930086474
0.8,1,-1.5849484669,44,-0.9251557875,51,1.1711479122
0.8,2,-0.8841842598,51,1.6057076802,76,-0.3723987846
0.8,3,0.9059674688,69,-1.6346996566,44,2.7698444408
0.9,0,1.5632505604,76,0.7887531902,68,-1.944081572
0.9,1,-1.5382641451,45,-0.8116461526,52,1.1865823732
0.9,2,-0.768410631,52,1.5606420451,76,-0.3864045454
0.9,3,0.791429514,68,-1.589747734,44,2.7560526588
1,0,1.5148758667,75,0.667643361,67,-1.9584880359
1,1,-1.4878845243,45,-0.6926022753,53,1.1663666094
1,2,-0.6561796374,53,1.5137605768,75,-0.3997191004
1,3,0.6775439326,67,-1.5440636465,45,2.7776758098
1.1,0,1.467907708,75,0.5568090341,66,-1.9903324047
1.1,1,-1.4348119794,46,-0.5719004527,54,1.1387632178
1.1,2,-0.5400194839,55,1.4648938622,75,-0.408122678
1.1,3,0.554911662,66,-1.4933424489,45,2.7276697119
1.2,0,1.4172193506,74,0.4451137617,64,-2.0129559123
1.2,1,-1.3818681717,46,-0.4655312678,55,1.0804906702
1.2,2,-0.4296847707,56,1.4138532881,74,-0.4603373797
1.2,3,0.4433824595,64,-1.443994291,46,2.716653401
1.3,0,1.3641898042,74,0.3381556948,63,-2.0507374149
1.3,1,-1.3255287401,47,-0.3619213217,56,1.0805140939
1.3,2,-0.3145884592,57,1.3539954417,74,-0.5068048562
1.3,3,0.3264330613,63,-1.3880498879,46,2.6781858359
1.4,0,1.3040987041,73,0.2287356861,62,-2.0853360908
1.4,1,-1.265063103,47,-0.2511403679,57,1.059367802
1.4,2,-0.2092758363,58,1.2941719881,73,-0.5118506345
1.4,3,0.2067725125,62,-1.3241798505,47,2.6186632868
1.5,0,1.2392866034,72,0.1178717145,61,-2.1216241339
1.5,1,-1.2031336035,48,-0.1444710161,59,1.0263367592
1.5,2,-0.0945378953,59,1.2297413387,72,-0.5284251643
1.5,3,0.0987755415,61,-1.2578995971,47,2.566872887
1.6,0,1.169457488,72,0.0085418898,60,-2.1529249843
1.6,1,-1.1340024912,49,-0.0365880563,60,0.9980614901
1.6,2,0.0232682997,60,1.1540156307,72,-0.6168454097
1.6,3,-0.0120598849,60,-1.1848489907,48,2.5609520053
1.7,0,1.1023712527,71,-0.0888531138,59,-2.1967359301
1.7,1,-1.0705391172,49,0.0571404585,61,0.9390693593
1.7,2,0.1193416597,61,1.0815261355,71,-0.6748262291
1.7,3,-0.1105980508,59,-1.119035406,49,2.5416931147
1.8,0,1.0180452737,70,-0.2013692168,58,-2.2516743401
1.8,1,-0.9810361167,50,0.1705313213,62,0.8769747075
1.8,2,0.2266717761,62,0.9908689858,70,-0.7267276986
1.8,3,-0.2259788338,58,-1.0392252023,50,2.5212566585
1.9,0,0.9290902256,69,-0.3016962528,57,-2.3233802649
1.9,1,-0.8896959251,51,0.2780813917,63,0.8602773871
1.9,2,0.3292572055,63,0.8977821988,69,-0.7434793377
1.9,3,-0.335149775,57,-0.9580348252,50,2.4908671758
2,0,0.8389117023,68,-0.3990335528,56,-2.3090236848
2,1,-0.8078367977,52,0.3739544258,64,0.8648573785
2,2,0.4237104394,64,0.8105294851,68,-0.7563787665
2,3,-0.439095214,56,-0.8777222855,51,2.479866315
2.1,0,0.7456391765,67,-0.498053384,55,-2.3530343192
2.1,1,-0.7158131137,53,0.4772964535,65,0.824126569
2.1,2,0.5211132721,65,0.7106494736,67,-0.8426082217
2.1,3,-0.5507869375,54,-0.7881530827,52,2.4480383135
2.2,0,0.6506029778,67,-0.5870231848,54,-2.4222781748
2.2,1,-0.6219314169,54,0.5713068073,66,0.7446938904
2.2,2,0.6044961626,66,0.605697031,66,-0.9652431834
2.2,3,-0.6501851309,53,-0.7011413132,53,2.3899404602
2.3,0,0.549924833,65,-0.6713568613,53,-2.4690688232
2.3,1,-0.5229291444,55,0.6558358455,67,0.6542580819
2.3,2,0.669363932,67,0.4947328958,65,-1.1174054798
2.3,3,-0.7403234558,53,-0.6063402018,54,2.2721932315
2.4,0,0.4355144773,64,-0.7542633438,52,-2.5695145251
2.4,1,-0.4112221957,56,0.7327601108,67,0.540119659
2.4,2,0.7226210613,67,0.368317559,64,-1.2142182027
2.4,3,-0.819728346,52,-0.4981805912,55,2.1400168515
2.5,0,0.3119831543,63,-0.8227836301,52,-2.7159712514
2.5,1,-0.2883969038,57,0.7947827762,68,0.3893653838
2.5,2,0.7690626058,68,0.2368233938,62,-1.2266391013
2.5,3,-0.8880683259,51,-0.3782233089,56,2.0272403776
2.6,0,0.2039886328,62,-0.8636436868,51,-2.8373501822
2.6,1,-0.1824019302,58,0.8331331237,68,0.3098504687
2.6,2,0.8064750754,68,0.1338383082,61,-1.2251814524
2.6,3,-0.9317786067,51,-0.272341552,57,1.8935400188
2.7,0,0.068926194,61,-0.9032724652,51,-2.8540788152
2.7,1,-0.0517203557,59,0.8695004405,69,0.2425081401
2.7,2,0.8504694796,69,0.0059906443,60,-1.263851384
2.7,3,-0.9680595595,50,-0.1413413806,59,1.814233732
2.8,0,-0.0620379946,59,-0.9430161515,51,-2.853854938
2.8,1,0.0773415796,61,0.9025602025,69,0.2654336143
2.8,2,0.8936084092,69,-0.128895214,59,-1.2533966702
2.8,3,-0.9990152698,50,-0.0094325395,60,1.7938975539
2.9,0,-0.1919110941,58,-0.9786225818,50,-2.8810689085
2.9,1,0.2020671162,62,0.9355994339,69,0.2590339374
2.9,2,0.9347560586,69,-0.2575107242,57,-1.2737236722
2.9,3,-1.0300537244,50,0.1263195968,61,1.8016656418
3,0,-0.325061407,57,-1.0135032559,50,-2.9145176699
3,1,0.3322087678,63,0.9687451799,70,0.2340224102
3,2,0.973515232,70,-0.385161,56,-1.2739048529
