time,ID,x,x_idx,y,y_idx,yaw
0.0,0,2.0225422575896714,161,1.4694631498224897,150,-2.513274940902972
0.0,1,-2.022542300141475,80,-1.4694631279786747,91,0.6283177962726635
0.1,0,2.0225467998570865,161,1.469466008669073,150,-2.5132876368671897
0.1,1,-2.0225468265822713,80,-1.4694659806722628,91,0.6283049994920205
0.2,0,2.010412450248759,161,1.4605890140937654,150,-2.5065546092176096
0.2,1,-2.0104124772191794,80,-1.460588986878367,91,0.6350379761433841
0.3,0,1.9647272198712933,160,1.4259950266914696,149,-2.4775974399058587
0.3,1,-1.9647272469669257,81,-1.4259950350854165,92,0.6639943771140233
0.4,0,1.8919905928661742,158,1.365848058312018,148,-2.425063328908381
0.4,1,-1.892046862728995,83,-1.3660906960232542,93,0.711505148605997
0.5,0,1.8000907677523397,157,1.2801772158940414,146,-2.3560048803763065
0.5,1,-1.7999771300061054,85,-1.2816841254977673,95,0.7726909134103737
0.6,0,1.6966543154093756,154,1.1693209794537194,144,-2.27532094860884
0.6,1,-1.6927991748486715,87,-1.167988145008838,97,0.8387076916740515
0.7,0,1.5953801268600807,152,1.0364478487948916,141,-2.1781419641029487
0.7,1,-1.5826811071178575,89,-1.0333645877982116,100,0.9455879457423064
0.8,0,1.5011302527911246,151,0.8889227106605034,138,-2.120786300823469
0.8,1,-1.48528525013382,91,-0.8891074950338577,103,0.9874264456346133
0.9,0,1.4153045939071727,149,0.7472413932117186,135,-2.104895756578594
0.9,1,-1.3938944801627768,93,-0.7468199245193424,106,1.0284440988329173
1.0,0,1.3279342539777708,147,0.5975591562178699,132,-2.0989572668001326
1.0,1,-1.3095456028872658,94,-0.5985597535858093,109,1.0714867135305572
1.1,0,1.240482151637571,145,0.44325293641916635,129,-2.0682834191411765
1.1,1,-1.2252490163260272,96,-0.44252497018054765,112,1.0797720653532865
1.2,0,1.1586294807219586,144,0.2902545005649788,126,-2.0612109244309003
1.2,1,-1.1474821599326572,98,-0.2924515839585491,115,1.097415755146745
1.3,0,1.0770346409817273,142,0.13626629512578403,123,-2.0614373369581194
1.3,1,-1.0684271928375642,99,-0.1363189092727645,118,1.1120791053327228
1.4,0,0.9984699390178965,140,-0.007458874589531228,120,-2.0825073662455056
1.4,1,-0.99561342285602,101,0.013789718332300189,121,1.1243613242509614
1.5,0,0.9121077222146114,139,-0.15965311172643207,117,-2.089356394339128
1.5,1,-0.9211783543771506,102,0.17080533896726904,124,1.115227580278439
1.6,0,0.8251537547246944,137,-0.31216101265694396,114,-2.104058358604393
1.6,1,-0.8413616213994859,104,0.32487716164905905,127,1.0503211879361496
1.7,0,0.7290169823216569,135,-0.4643936372969673,111,-2.1673587330808104
1.7,1,-0.7419790455370807,106,0.4761099418660596,130,0.917080439438683
1.8,0,0.6130761660647583,133,-0.6085850874699699,108,-2.33488195188706
1.8,1,-0.6252444948157793,108,0.6104904142877189,133,0.8200781123921954
1.9,0,0.48032006351738227,130,-0.7300787222544279,106,-2.469452131495686
1.9,1,-0.49996063743232766,111,0.7370877416306563,135,0.7467512194329942
2.0,0,0.3378553906594338,127,-0.8348921523580499,104,-2.5303835380267348
2.0,1,-0.36141174164099077,113,0.8537660119053195,138,0.6430173922340552
2.1,0,0.18427508088372793,124,-0.9332282665391991,102,-2.6108628391112396
2.1,1,-0.21791527309895162,116,0.9534790964608532,140,0.5838618341122057
2.2,0,0.025784762877749147,121,-1.0205330451587675,100,-2.6599076152986063
2.2,1,-0.06144775420597183,119,1.0488084749079054,141,0.5027745995439297
2.3,0,-0.13120430603936875,118,-1.09287681909939,99,-2.748323332665838
2.3,1,0.09736584321247416,122,1.130168175967433,143,0.43212732887362804
2.4,0,-0.2966582625149681,115,-1.1545515230249623,97,-2.829677201923461
2.4,1,0.25913783064018925,126,1.1982726683937843,144,0.36481282419286315
2.5,0,-0.4749177684145609,111,-1.1989339159333663,97,-2.945016334416503
2.5,1,0.4263804181627508,129,1.2549735107537168,146,0.2927073801917363
2.6,0,-0.6439946774048992,108,-1.2294917261105207,96,-2.9702149533842728
2.6,1,0.5920463159320657,132,1.2988947557283108,146,0.21600796532448316
2.7,0,-0.8147614082976503,104,-1.2531784044658694,95,-3.017621599832791
2.7,1,0.7574398922668688,136,1.3267430608769197,147,0.1322924983823365
2.8,0,-0.9887695102868227,101,-1.2711079070372198,95,-3.0307447795826032
2.8,1,0.9360598666569707,139,1.3485165789158433,147,0.12143817079608635
2.9,0,-1.1560379885482834,97,-1.2993684656364402,95,-2.913099899461192
2.9,1,1.097688296544829,142,1.369001915437838,148,0.1295222510015151
3.0,0,-1.3225514279771382,94,-1.3408133784406673,94,-2.890417003652992
3.0,1,1.2691710196697383,146,1.3878660147240316,148,0.08510367644496682
3.1,0,-1.4930268821975718,91,-1.377872487993079,93,-2.962431981843781
3.1,1,1.4430718453334554,149,1.3990416826849668,148,0.03924883169527489
